State,Mean_Rate,Gun_Control_Law,Population
Alaska,23.153125,1,733406.0
Alabama,25.515624999999996,1,5108468.0
Arkansas,22.034374999999997,1,3067732.0
Arizona,19.656250000000004,1,7431344.0
California,8.521875,5,38965193.0
Colorado,17.246875,4,5877610.0
Connecticut,6.628125,5,3617176.0
Delaware,12.4875,4,1031890.0
Florida,14.196875,2,22610726.0
Georgia,19.434375000000003,1,11029227.0
Hawaii,4.6375,4,1435138.0
Iowa,11.11875,1,3207004.0
Idaho,17.503125,1,1964726.0
Illinois,14.246875,5,12549689.0
Indiana,18.0,1,6862199.0
Kansas,16.665625000000002,1,2940546.0
Kentucky,18.790625,1,4526154.0
Louisiana,28.018750000000004,2,4573749.0
Massachusetts,3.7656250000000004,5,7001399.0
Maryland,13.037499999999998,4,6180253.0
Maine,12.831249999999999,2,1395722.0
Michigan,14.6,2,10037261.0
Minnesota,9.481250000000001,3,5737915.0
Missouri,22.978125000000002,1,6196156.0
Mississippi,29.540625000000002,1,2939690.0
Montana,23.246874999999996,1,1132812.0
North Carolina,16.828125,2,10835491.0
North Dakota,14.924999999999999,1,783926.0
Nebraska,11.381250000000001,2,1978379.0
New Hampshire,10.140625,1,1402054.0
New Jersey,4.940625,4,9290841.0
New Mexico,26.525000000000002,3,2114371.0
Nevada,18.896875,2,3194176.0
New York,5.1,5,19571216.0
Ohio,15.4625,1,11785935.0
Oklahoma,19.946875,1,4053824.0
Oregon,14.862499999999999,4,4233358.0
Pennsylvania,14.46875,3,12961683.0
Rhode Island,4.1875,3,1095962.0
South Carolina,20.409375,1,5373555.0
South Dakota,14.234375,1,919318.0
Tennessee,21.58125,1,7126489.0
Texas,15.215625,1,30503301.0
Utah,13.89375,1,3417734.0
Virginia,14.659375,3,8715698.0
Vermont,12.503125,2,647464.0
Washington,12.915625,4,7812880.0
Wisconsin,13.656249999999998,2,5910955.0
West Virginia,17.2375,1,1770071.0
Wyoming,22.149999999999995,1,584057.0
